year,driver_name,Yarış,Puan,Galibiyet,Podyum
1997,Michael Schumacher,17,78.0,5,8
1998,Eddie Irvine,16,47.0,0,8
1998,Michael Schumacher,16,86.0,6,11
1999,Eddie Irvine,16,74.0,4,9
1999,Michael Schumacher,10,44.0,2,6
1999,Mika Salo,6,10.0,0,2
2000,Michael Schumacher,17,108.0,9,12
2000,Rubens Barrichello,17,62.0,1,9
2001,Michael Schumacher,17,123.0,9,14
2001,Rubens Barrichello,17,56.0,0,10
2002,Michael Schumacher,17,144.0,11,17
2002,Rubens Barrichello,17,77.0,4,10
2003,Michael Schumacher,16,93.0,6,8
2003,Rubens Barrichello,16,65.0,2,8
2004,Michael Schumacher,18,148.0,13,15
2004,Rubens Barrichello,18,114.0,2,14
2005,Michael Schumacher,19,62.0,1,5
2005,Rubens Barrichello,19,38.0,0,4
2006,Felipe Massa,18,80.0,2,7
2006,Michael Schumacher,18,121.0,7,12
2007,Felipe Massa,17,94.0,3,10
2007,Kimi Räikkönen,17,110.0,6,12
2008,Felipe Massa,18,97.0,6,10
2008,Kimi Räikkönen,18,75.0,2,9
2009,Felipe Massa,10,22.0,0,1
2009,Giancarlo Fisichella,5,0.0,0,0
2009,Kimi Räikkönen,17,48.0,1,5
2009,Luca Badoer,2,0.0,0,0
2010,Felipe Massa,19,144.0,0,5
2010,Fernando Alonso,19,252.0,5,10
2011,Felipe Massa,19,118.0,0,0
2011,Fernando Alonso,19,257.0,1,10
2012,Felipe Massa,20,122.0,0,2
2012,Fernando Alonso,20,278.0,3,13
2013,Felipe Massa,19,112.0,0,1
2013,Fernando Alonso,19,242.0,2,9
2014,Fernando Alonso,19,161.0,0,2
2014,Kimi Räikkönen,19,55.0,0,0
2015,Kimi Räikkönen,19,150.0,0,3
2015,Sebastian Vettel,19,278.0,3,13
2016,Kimi Räikkönen,21,186.0,0,4
2016,Sebastian Vettel,21,212.0,0,7
2017,Kimi Räikkönen,20,205.0,0,7
2017,Sebastian Vettel,20,317.0,5,13
2018,Kimi Räikkönen,21,251.0,1,12
2018,Sebastian Vettel,21,320.0,5,12
2019,Charles Leclerc,21,264.0,2,10
2019,Sebastian Vettel,21,240.0,1,9
2020,Charles Leclerc,17,98.0,0,2
2020,Sebastian Vettel,17,33.0,0,1
2021,Carlos Sainz,22,163.5,0,4
2021,Charles Leclerc,22,159.0,0,1
2022,Carlos Sainz,22,228.0,1,9
2022,Charles Leclerc,22,291.0,3,11
2023,Carlos Sainz,22,178.0,1,3
2023,Charles Leclerc,22,185.0,0,6
2024,Carlos Sainz,23,262.0,2,9
2024,Charles Leclerc,24,327.0,3,13
2024,Oliver Bearman,1,6.0,0,0
